age,male,r_white,r_black,r_hispanic,r_asian,r_native,househd_size,have_child,have_elder,income_above_4k,college_edu,owner,pets,ht_single_fam,ht_mobile,ht_condo,hm_wood,hm_brick_cement,coast_dist,elevation,issued_mandatory,issued_voluntary,heard_order,od_voluntary,od_mandatory,know_evac_zone,ez_in_zone,ez_not_in_zone,src_local_radio,src_local_tv,src_cable_cnn,src_cable_weather_channel,src_cable_other,src_internet,importance_nhc,importance_local_media,trust_local_media,seek_local_weather_office,see_track_map,concern_wind,concern_fld_surge,concern_fld_rainfall,concern_tornado,sf_cat4_water,sf_cat4_wind_water,sf_cat3_water,sf_cat3_wind_water,sf_cat2_water,sf_cat2_wind_water,evac
40.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,6.36782842395,2.3,1,0,1.0,0,1,1,1,0,1,3,0,0,0,0,2.0,2.0,1.0,0.0,1.0,0.0,2,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
40.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,7.34192503794,5.4,0,1,0.0,0,0,1,1,0,1,3,0,0,0,0,1.0,1.0,1.0,0.0,1.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
66.0,1,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,7.36217817152,4.9,0,0,1.0,1,0,1,1,0,3,2,0,2,0,0,0.0,2.0,1.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1
72.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,1,0,1.74768869467,1.5,0,0,0.0,0,0,1,1,0,2,3,0,0,0,0,2.0,2.0,1.0,1.0,1.0,2.0,1,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0
57.0,0,1,0,0,0,0,3.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,7.36217817152,4.9,0,0,0.0,0,0,0,0,0,0,3,2,1,3,1,0.0,1.0,1.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0
58.0,1,1,0,0,0,0,4.0,0.0,1.0,1.0,1,1,0,1,0,0,0,1,2.94808433601,0.0,0,1,1.0,1,0,1,1,0,1,2,1,3,3,1,2.0,2.0,1.0,0.0,1.0,1.0,2,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
57.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,1,1,0,0,0,1,5.59795263816,3.2,0,1,1.0,1,0,1,1,0,3,3,2,3,3,0,2.0,2.0,1.0,0.0,1.0,2.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
32.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,1,1,0,0,1,0,6.36782842395,2.3,1,0,1.0,1,0,1,1,0,1,2,0,1,0,1,1.0,2.0,1.0,0.0,1.0,1.0,2,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1
45.0,1,0,0,1,0,0,4.0,1.0,0.0,1.0,1,1,0,1,0,0,0,1,2.09022190259,3.6,0,0,1.0,0,0,1,1,0,2,2,0,0,0,3,2.0,2.0,1.0,1.0,1.0,2.0,2,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0
65.0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,18.0436763177,0.0,1,0,1.0,0,1,1,1,0,0,3,0,3,0,0,1.0,1.0,1.0,0.0,1.0,2.0,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1
45.0,1,1,0,0,0,0,6.0,1.0,0.0,1.0,1,1,1,1,0,0,0,1,14.6773700831,0.0,1,0,1.0,0,1,1,1,0,2,2,1,1,1,2,2.0,1.0,1.0,0.0,1.0,2.0,2,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1
