q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q1a,q1b,q1c,q1d,q1e,q2a,q2b,q2c,q2d,q2e,q2f,q2g,q2h,q2i,q2j,q2k,q2l,q2m,q2n,county,dist_river,dist_lake,dist_coast,q3
63,1,3,1,3,0,3,4,2,1,4,4,3,1,4,4,4,3,2,2,2,2,5, ,4,3,1,1,1,1,7699.812,14394.263,40666.191,1
72,1,3,1,2,0,2,1,2,1,1,5,2,1,5,2,2,4,3,5,3,4,2,2,1,2,1,1,5,1,7754.563,14484.582,41059.02,1
38,2,3,1,4,2,1,3,2,1,1,5,4,1,1,5,5,5,1,1,4,4,5, ,1,4,3,3,5,1,7845.12,14475.042,41167.914,2
63,1,6,1,3, ,2,4,2,1,1,4,3,1,3,4,5,4,1,3,3,4,5,4,5,3,1,1,1,1,8018.253,15336.989,42657.129,2
41,1,3,1,4,2,2,5,2,1,2,5,3,1,4,5,5,5,2,4,4,5,5,3,3,3,2,2,3,1,8259.411,14354.077,41368.59,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,8167.765,11328.976,37398.711, 
72,1,1,2,1, ,2,1,1,1, ,3, , , , , , , , ,4, , , , , , , , ,1,7257.211,14839.5,41059.32,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,5685.495,7000.402,32129.203, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,9103.199,13042.373,39651.285, 
30,1,3,1,2,0,4,5,2,4,4,5,4,4,4,4,5,4,2,4,4,4,4,2,2,2,2,2,3,1,1661.688,27104.725,49600.176,2
39,1,3,1,3,1,4,5,2,1,4,5,5,1,3,4,4,4,1,2,4,4,4,2,2,3,1,1,2,1,7409.646,14783.296,41234.691,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,7620.208,14628.02,41195.574, 
27,1,3,1,2,0,4,4,2,4,2,5,5,1,3,5,4,4,3,4,4,4,3,1,1,3,3,3,3,1,4170.642,18105.676,44185.414,2
50,2,3,3,3,1,5,4,2,1,5,5,3,3,1,5,5,5,3,5,5,5,5,4,3,4,1,4,4,1,4169.727,18106.861,44186.727,2
52,1,3,1,3,0,4,5,2,1,2,5,4,3,2,5,5,5,3,4,3,4,4,4,3,3,3,3,2,1,8077.185,15294.99,42630.719,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,5058.262,17674.479,44215.207, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,7767.129,14422.587,40921.18, 
76,1,3,1,2,0,1,2,2,1, ,5, , , ,5,5,5, , , , , , , , , , , ,1,7791.906,14435.8,40998.641,2
45,1,5,1,3,0,3,3,2,2,2,5,5,3,5,5,5,5,3,4,3,4,5,1,3,5,5,5,5,1,7382.766,14827.767,41303.707,2
42,1,3,1,4,2,2,5,2,1,3,3,3,1,1,4,4,3,2,1,3,3,4,4,3,4,1,5,5,1,8263.983,16695.016,44422.352,1
50,2,3,1,4,0,5,5,2,1,4,4,4,4,5,4,4,4,5,5,5,5,5,5,1,5,1,3,5,1,6740.28,19172.506,46784.465,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,6822.676,17949.301,45412.895, 
50,2,5,1,3,1,1,4,2,4,5,5,5, ,5,5,5, , ,5,5,5, , ,5,5,5,5,5,1, , , ,2
61,1,3,1,2,0,2, ,2,1,5,3,2,1,4,5,5,5,4,4,2,3,5,5,3,3,3,1,3,1,5669.799,9540.173,33003.559,2
47,2,3,1,3,0,3,2,2,1,1,4,3,1,1,3,5,5,4,4,4,2,4,1,1,3,3,4,1,1,10938.195,18796.188,53181.414,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,14984.327,21458.705,52834.461, 
29,1,3,1,4,2,1,5,2,1,3,5,5,2,3,5,3,3,4,4,5,3,2,2,5,4,1,4,4,1, , , ,2
47,1,3,1,4,0,2,5,2,1,1,5,1,1,4,4,3,3,3,4,4,5,2,2,1,4,1,3,1,1,13156.357,19785.355,52009.09,2
66,1,5,1,2,0,2,2,2,1,1,4,5,1,1,1,1,1,1,1,4,1,1,1,5,5,1,1,1,1, , , ,1
2,1,3,1,4,2,2,4,2,2,1,3,3,1,3,5,5,5,3,3,4,3,3,1,1,1,1,1,1,1, , , ,1
