V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,LocationLatitude,LocationLongitude,LocationAccuracy,LastActivity,
FS_3HCAW4QYL4twV6O,,Anonymous,,,75.87.69.224,0,2017-11-01 16:12:16,2017-11-01 16:21:17,0,394887,1,4,5,5,5,3,3,2,,,,,,,1,4,4,5,2,4,5,2,2,,,,,1,,,1,,22,2,4,2,4,2,2,2,2,2,78382,1,6,3,1,2,Aransas County,1,1,,1,,,1,1,2,2,1,1,2,,,,1,A204QLL7F4N7H1,,,,-1,2017-11-01 16:21:17,
FS_1q9X0abHXyvs95v,,Anonymous,,,98.6.149.58,0,2017-10-31 22:42:21,2017-10-31 22:48:22,0,124254,1,2,3,1,4,5,5,1,2,1,5,1,1,2,2,,,,,,,2,2,,,,1,1,,1,,,47,2,1,3,1,2,2,2,2,1,76522,10,1,2,2,2,travis,2,,,,,,,,,2,2,,,2,2,2,1,A2RPTOYREVL7RG,,,,-1,2017-10-31 22:48:22,
FS_XRlRg9P86Xn5jYl,,Anonymous,,,172.58.73.180,0,2017-11-01 23:53:15,2017-11-01 23:53:27,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2017-11-01 23:53:27,
FS_1rBzKN7rvXGx84X,,Anonymous,,,73.115.152.90,0,2017-11-04 16:15:38,2017-11-04 16:38:03,0,644420,1,3,3,2,2,5,4,1,5,5,3,5,2,2,1,5,5,4,4,4,4,1,1,,,,1,1,,,1,,48,2,1,4,4,3,2,2,2,1,77521,6,1,2,2,2,Harris,1,2,1,1,1,,1,,2,2,2,,,2,2,2,1,,,,,-1,2017-11-04 16:38:03,
FS_sRs91hgTj0LkmL7,,Anonymous,,,12.230.217.115,0,2017-11-03 20:10:32,2017-11-03 20:31:20,0,734175,1,3,4,3,3,4,4,1,5,3,2,1,2,3,2,,,,,,,1,1,,,,1,1,,,1,,46,2,1,5,4,1,2,2,2,1,78745,8,1,2,1,1,travis,2,,,,,,,,,1,2,,,2,2,2,1,,,,,-1,2017-11-03 20:31:20,
FS_2wpoEZcGmjNKXXE,,Anonymous,,,24.175.101.148,0,2017-11-06 19:00:55,2017-11-06 19:02:54,0,,1,5,2,3,5,5,5,1,3,2,3,3,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2017-11-06 19:02:54,
FS_3BNtvA3LyYDGkdX,,Anonymous,,,24.227.187.196,0,2017-11-02 14:52:23,2017-11-02 14:56:51,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2017-11-02 14:56:51,
FS_77dXrkNeiE35cYh,,Anonymous,,,198.49.125.28,0,2017-11-01 13:37:40,2017-11-01 13:41:04,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2017-11-01 13:41:04,
FS_21hKzstCasueJDk,,Anonymous,,,47.183.29.63,0,2017-11-01 15:00:55,2017-11-01 15:01:40,0,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2017-11-01 15:01:40,
FS_2ToPELM4unMbmwg,,Anonymous,,,76.186.169.242,0,2017-11-06 18:45:11,2017-11-06 18:47:35,0,,1,3,4,2,2,2,2,2,,,,,,,2,,,,,,,3,3,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2017-11-06 18:47:35,
