Age,Gender,r_white,r_black,r_native,r_hispanic,m_married,m_single,HouseholdSize,NumChd,Edu,Income,Owner,h_singlefam,h_mobile,CloseCoast,CloseWater,OfficialHurricWatch,OfficialEvac,SrcLocalAuth,SrcLocalMedia,SrcNationalMedia,SrcInternet,SrcPeers,SeeStormCond,SeeShopClose,SeePeerEvac,PrevStormExp,PrevFalseAlarm,ProtectFromLooter,ProtectFromStorm,LostIncome,EvacExpense,Traffic,DistCoast,DistRiver,DistLakeEvac
,1,1.0,0.0,0.0,,1.0,0.0,2,0,5,3,1,1.0,0.0,5,5,4,4,4,4,5,3,2,2,3,3,5,5,5,5,4,1,5,3518.17,1531.899,
,0,1.0,0.0,0.0,,1.0,0.0,4,0,4,5,1,0.0,0.0,5,3,5,4,4,4,5,3,3,5,3,3,4,4,1,3,3,2,1,2272.281,693.301,
,0,1.0,0.0,0.0,,0.0,0.0,2,0,3,4,1,0.0,1.0,5,5,4,5,4,4,3,1,5,4,4,5,4,1,1,3,1,2,2,40409.617,284.991,
,0,1.0,0.0,0.0,,1.0,0.0,4,2,3,2,1,0.0,1.0,5,4,3,3,3,5,5,4,2,3,2,3,5,5,3,4,1,1,4,131.509,131.509,
,1,1.0,0.0,0.0,,1.0,0.0,5,3,3,5,1,1.0,0.0,4,4,5,4,5,4,5,1,3,4,2,5,3,1,2,1,1,1,1,1096.269,837.862,
,0,0.0,0.0,1.0,,1.0,0.0,3,0,5,4,1,0.0,0.0,5,5,4,4,3,4,4,1,4,4,4,5,3,5,5,2,4,4,4,3050.692,1524.896,
,0,1.0,0.0,0.0,,1.0,0.0,4,0,3,4,1,1.0,0.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,557.455,557.455,
,0,1.0,0.0,0.0,,0.0,0.0,3,0,5,1,1,1.0,0.0,5,1,5,5,5,5,5,1,3,5,1,5,5,5,3,5,5,5,5,154.484,154.484,
,0,1.0,0.0,0.0,,1.0,0.0,4,1,3,4,1,1.0,0.0,5,1,1,5,4,4,4,3,1,1,1,1,3,1,1,1,1,1,1,158.499,158.499,
,1,1.0,0.0,0.0,,1.0,0.0,5,3,3,5,1,1.0,0.0,5,3,5,5,5,5,4,4,3,3,4,4,5,4,3,4,2,5,5,2799.874,718.687,
