age,gender,edu,income,househd_size,r_white,r_black,r_asian,r_hispanic,r_native,has_children,has_elders,has_special_needs,has_pets,hs_single_fam,hs_condo,hs_mobile,hm_wood,hm_brick,owner,insurance,coast_dist,risk_stay,risk_evac,wind_safety,wind_property,flood_safety,flood_property,evac_decision
49,1,3,3,3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,5,1,1,1,5,5,1
32,0,4,4,5,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,5,4,3,3,3,4,4,1
32,1,2,4,5,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,5,3,2,3,3,3,3,0
37,0,3,4,4,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,4,4,4,4,4,4,0
38,0,4,4,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,5,4,2,3,3,4,5,0
25,0,2,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,5,1,5,4,1,1,1
35,1,1,3,4,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,5,4,2,4,4,4,4,0
30,1,3,2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,3,2,1,2,2,2,2,1
32,1,2,2,3,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,5,2,2,2,3,3,3,0
37,0,2,1,6,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,3,2,3,3,3,3,0
61,0,4,3,2,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,3,3,3,4,2,2,0
35,0,3,4,4,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,4,5,2,3,4,5,5,0
41,0,4,4,3,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,2,2,4,2,3,4,5,0
26,0,3,3,2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,4,2,1,1,1,2,4,1
21,0,2,2,3,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,4,4,3,5,5,4,5,1
32,0,3,2,5,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,4,4,4,4,4,4,4,1
39,1,2,4,5,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,3,2,1,2,2,3,3,0
32,0,3,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,5,3,1,2,2,2,2,0
22,0,3,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,5,4,2,1,1,1,1,0
35,1,1,1,5,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,3,5,5,5,5,5,5,0
38,1,3,4,4,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,3,2,1,1,1,1,2,0
58,1,3,4,5,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,3,1,5,2,2,2,2,0
21,1,2,1,3,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,3,2,4,4,4,4,0
29,0,2,2,3,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,3,3,3,4,4,1,1,0
31,1,3,3,4,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,2,5,3,5,5,5,5,1
31,0,3,2,4,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,2,2,4,2,2,1,2,0
40,0,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,5,2,3,2,2,2,4,0
21,1,3,1,3,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,4,2,1,3,3,3,3,0
45,1,2,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3,2,3,2,2,3,4,0
