lon,lat,county,current_zipcode,preIrma_zipcode,coast_dist
-87.2173996,30.46209717,escambia,32502,32502,More than 70 miles
-82.62550354,27.81520081,Pinellas,33740,33740,Within 1 mile
-81.83209991,30.21789551,Clay,32073,32073,10 to 30 miles
-81.23480225,28.88409424,volusia,32738,32738,10 to 30 miles
-82.45149994,28.09069824,Hillsborough,33620,33620,30 to 50 miles
-87.66069794,41.95599365,seminole,60657,32701,50 to 70 miles
-86.80249786,33.52070618,Dixie,32680,34205,30 to 50 miles
-80.23950195,25.78289795,Miami dade,33012,33010,1 to 10 mile
-81.00749969,29.16220093,Volusia,32129,32129,1 to 10 mile
-81.62210083,28.63439941,Hillsborough,33558,33558,10 to 30 miles
-80.18000031,25.95700073,Miami Dade,33179,33179,1 to 10 mile
-82.47229767,28.93449402,Citrus,34465,34465,10 to 30 miles
-81.51580048,28.73129272,Seminole,32703,32704,30 to 50 miles
-81.77149963,30.16720581,Clay,32003,32003,30 to 50 miles
-81.42459869,28.30690002,Osceola,34741,34741,50 to 70 miles
-81.7539978,30.21870422,duval,32210,32210,10 to 30 miles
-80.20780182,26.58839417,Palm Beach County,33467,33467,10 to 30 miles
-80.2071991,26.70629883,Palm Beach,33411,33411,10 to 30 miles
-80.67359924,28.01699829,Brevard,32907,32907,10 to 30 miles
-81.24739838,28.75239563,Seminole,32773,32773,30 to 50 miles
123.8916931,10.31109619,Broward,34476,33065,10 to 30 miles
-81.58229828,30.334198,Duval,32246,33431,10 to 30 miles
3.395797729,6.453094482,Liberty county,32095,32095,10 to 30 miles
-84.33209991,30.52520752,leon,32304,32304,10 to 30 miles
-80.6115036,28.0381012,Brevard,32905,32905,1 to 10 mile
-81.86209869,26.48669434,Lee,33908,4210,1 to 10 mile
-80.75340271,28.07820129,Brevard,32901,32901,Within 1 mile
-81.46530151,28.45170593,Polk,33897,33837,More than 70 miles
-81.21749878,29.57060242,Flagler,32164,32164,1 to 10 mile
-81.16470337,28.53410339,orlando,32771,32771,10 to 30 miles
-81.58719635,30.37030029,duval,32277,32277,10 to 30 miles
-72.03330231,9.983306885,Condado de Hamilton,33032,33032,30 to 50 miles
-66.0,8.0,weston,33325,33325,More than 70 miles
-81.17240143,28.39970398,Orange,32832,32832,50 to 70 miles
-81.6556015,30.3321991,Duval,32256,32256,10 to 30 miles
-81.36180115,28.83009338,Seminole,32771,32771,30 to 50 miles
-80.34339905,25.98249817,Miami dade,33125,33125,1 to 10 mile
-81.87539673,26.62309265,lee,33990,33990,10 to 30 miles
-80.86560059,28.97819519,Volusia,32132,32132,Within 1 mile
