male,r_white,r_black,r_hispanic,r_asian,r_native,have_child,income_above_4k,college_edu,ht_single_fam,ht_mobile,ht_condo,coast_dist,elevation,issued_mandatory,issued_voluntary,evac
1,1,0,0,0,0,0.0,1.0,1,1,0,0,0.728852638111,36.3,1,0,1
1,1,0,0,0,0,0.0,1.0,0,1,0,0,6.41765787353,96.8,0,0,1
1,1,0,0,0,0,1.0,1.0,0,1,0,0,1.34210213579,56.5,0,0,0
0,1,0,0,0,0,0.0,0.0,0,0,0,1,1.53953288829,26.7,0,0,1
1,1,0,0,0,0,1.0,0.0,0,0,1,0,47.1032868598,126.8,0,0,0
1,1,0,0,0,0,0.0,1.0,1,1,0,0,3.41658813867,53.2,1,0,1
0,1,0,0,0,0,0.0,0.0,0,0,0,1,2.54452685595,9.5,1,0,1
1,1,0,0,0,0,1.0,0.0,1,1,0,0,41.7370875179,111.4,0,0,0
0,1,0,0,0,0,0.0,1.0,0,1,0,0,35.6183845476,91.3,0,0,0
1,1,0,0,0,0,0.0,1.0,1,1,0,0,1.67621560814,38.5,1,0,0
0,1,0,0,0,0,1.0,0.0,0,1,0,0,1.02768651424,0.9,1,0,0
1,1,0,0,0,0,0.0,1.0,1,1,0,0,0.728852638111,36.3,1,0,0
0,0,0,0,1,0,0.0,1.0,0,1,0,0,1.02768651424,0.9,1,0,0
1,1,0,0,0,0,0.0,1.0,0,1,0,0,2.34033202078,64.3,1,0,0
0,1,0,0,0,0,0.0,0.0,0,1,0,0,1.11590786616,0.0,0,0,0
0,1,0,0,0,0,0.0,1.0,1,1,0,0,1.50338764002,25.3,1,0,0
0,0,1,0,0,0,1.0,0.0,0,1,0,0,1.86591274655,21.7,1,0,0
0,1,0,0,0,0,0.0,0.0,0,0,0,1,0.728852638111,36.3,1,0,1
1,1,0,0,0,0,0.0,1.0,0,0,1,0,33.4682942887,144.4,0,0,0
1,1,0,0,0,0,0.0,0.0,0,0,1,0,15.3961471011,180.2,1,0,0
0,0,1,0,0,0,1.0,0.0,1,0,0,0,2.56803515393,49.7,1,0,1
0,1,0,0,0,0,1.0,0.0,1,1,0,0,2.34033202078,64.3,1,0,0
1,1,0,0,0,0,0.0,1.0,0,1,0,0,19.9685622058,228.6,0,0,0
1,1,0,0,0,0,1.0,0.0,0,1,0,0,0.52534680485,11.5,1,0,1
0,1,0,0,0,0,0.0,0.0,0,0,1,0,50.0858321307,143.2,0,0,1
0,1,0,0,0,0,0.0,0.0,0,1,0,0,6.41765787353,96.8,0,0,0
0,1,0,0,0,0,1.0,1.0,1,1,0,0,48.0573427165,81.5,0,0,0
0,1,0,0,0,0,1.0,0.0,0,1,0,0,33.4682942887,144.4,0,0,1
1,1,0,0,0,0,0.0,0.0,1,1,0,0,23.8593795428,232.3,0,0,0
0,1,0,0,0,0,0.0,0.0,1,1,0,0,1.53953288829,26.7,0,0,1
0,1,0,0,0,0,0.0,0.0,0,1,0,0,1.00987323199,9.5,0,0,0
1,0,1,0,0,0,0.0,1.0,1,1,0,0,1.103248068,72.2,1,0,0
1,0,1,0,0,0,0.0,0.0,0,0,0,1,32.0277527397,84.2,0,0,0
0,1,0,0,0,0,0.0,0.0,0,0,1,0,35.6183845476,91.3,0,0,1
1,1,0,0,0,0,0.0,1.0,0,1,0,0,3.41658813867,53.2,1,0,0
0,1,0,0,0,0,1.0,1.0,0,1,0,0,0.827932450894,3.6,0,0,0
0,1,0,0,0,0,0.0,1.0,1,1,0,0,0.923735829039,18.9,0,0,1
1,1,0,0,0,0,0.0,0.0,0,1,0,0,1.34210213579,56.5,0,0,0
1,1,0,0,0,0,0.0,1.0,0,1,0,0,1.86591274655,21.7,1,0,1
1,1,0,0,0,0,0.0,1.0,0,1,0,0,1.61298739721,30.9,1,0,1
1,1,0,0,0,0,0.0,0.0,0,1,0,0,2.34033202078,64.3,1,0,0
1,1,0,0,0,0,0.0,1.0,1,1,0,0,33.4682942887,144.4,0,0,0
1,1,0,0,0,0,1.0,1.0,0,1,0,0,14.1022955757,115.9,0,0,0
1,1,0,0,0,0,0.0,1.0,1,1,0,0,1.08910160159,0.0,0,0,0
0,1,0,0,0,0,0.0,0.0,0,1,0,0,14.7458777664,185.8,1,0,0
1,1,0,0,0,0,0.0,1.0,0,1,0,0,3.15758568431,87.3,1,0,0
1,1,0,0,0,0,1.0,1.0,1,1,0,0,0.473529451921,0.0,1,0,1
0,1,0,0,0,0,0.0,1.0,1,1,0,0,0.728852638111,36.3,1,0,1
0,1,0,0,0,0,0.0,1.0,0,0,0,1,1.50338764002,25.3,1,0,1
1,1,0,0,0,0,0.0,0.0,1,1,0,0,14.1022955757,115.9,0,0,0
1,1,0,0,0,0,1.0,1.0,1,1,0,0,0.923735829039,18.9,0,0,1
0,1,0,0,0,0,1.0,1.0,1,1,0,0,4.88240194821,0.0,0,0,0
1,1,0,0,0,0,1.0,1.0,1,1,0,0,0.904074593135,11.2,1,0,0
